gpercentile,IT25,cash_GR35,B90kC,SC,B90kMat,Bmat,B45kC,B120kC,B90kI,B90kN,B90kG,B,BG,BN,BI,Bbeef,Bflight,B90kC_SD
0,5759,1374,9203,9915,9673,8706,7362,10124,5934,8508,6770,8283,6093,7587,5341,8283,8283,9488
1,5885,1398,9242,9956,9713,8742,7394,10166,6064,8527,6913,8318,6222,7604,5458,8318,8318,9527
2,6059,1433,9311,10031,9786,8808,7449,10242,6243,8569,7113,8380,6402,7641,5619,8380,8380,9599
3,6290,1481,9477,10210,9960,8964,7582,10424,6481,8701,7378,8529,6641,7759,5833,8529,8529,9770
4,6585,1463,9619,10363,10110,9099,7695,10581,6785,8815,7653,8657,6888,7861,6107,8657,8657,9917
5,6953,1525,9622,10367,10114,9102,7698,10585,7164,8868,7878,8660,7090,7908,6448,8660,8660,9920
6,7190,1532,9703,10453,10198,9178,7762,10673,7408,8894,7893,8733,7103,7931,6667,8733,8733,10003
7,7190,1473,9988,10761,10498,9448,7990,10987,7408,9250,7894,8990,7105,8249,6667,8990,8990,10297
8,7190,1392,10069,10848,10583,9525,8055,11076,7408,9409,7924,9062,7132,8391,6667,9062,9062,10381
9,7190,1305,10077,10857,10592,9533,8062,11085,7408,9496,7937,9070,7143,8468,6667,9070,9070,10389
10,7190,1213,10205,10995,10726,9653,8164,11226,7408,9715,7956,9185,7160,8664,6667,9185,9185,10521
11,7190,1145,10274,11069,10799,9719,8219,11302,7408,9851,7987,9247,7189,8785,6667,9247,9247,10592
12,7193,1079,10298,11095,10824,9741,8238,11328,7412,9936,8043,9268,7239,8861,6671,9268,9268,10617
13,7206,1012,10509,11322,11045,9941,8407,11560,7425,10220,8065,9458,7259,9114,6682,9458,9458,10834
14,7235,956,10572,11390,11112,10000,8458,11629,7454,10337,8118,9515,7306,9219,6709,9515,9515,10899
15,7288,910,10603,11423,11144,10030,8482,11664,7510,10413,8189,9543,7370,9286,6759,9543,9543,10931
16,7343,884,10788,11623,11339,10205,8630,11867,7566,10633,8255,9709,7429,9482,6809,9709,9709,11122
17,7390,865,10887,11729,11442,10298,8710,11975,7614,10754,8303,9798,7473,9590,6853,9798,9798,11224
18,7816,887,10979,11828,11540,10386,8783,12077,8054,10832,8392,9881,7553,9660,7249,9881,9881,11319
19,7909,871,11007,11859,11569,10412,8806,12108,8149,10877,8469,9907,7622,9700,7334,9907,9907,11348
20,8362,895,11137,11999,11706,10535,8910,12251,8616,10993,8933,10024,8040,9803,7754,10024,10024,11482
21,8535,894,11155,12018,11725,10552,8924,12271,8795,11013,9103,10040,8193,9821,7915,10040,10040,11500
22,8840,909,11353,12231,11932,10739,9082,12488,9109,11202,9414,10218,8473,9990,8198,10218,10218,11704
23,9134,921,11357,12236,11937,10743,9086,12493,9411,11209,9712,10222,8741,9995,8470,10222,10222,11709
24,9250,920,11623,12522,12216,10994,9298,12785,9531,11484,9825,10461,8843,10241,8578,10461,10461,11982
25,9475,935,11649,12550,12243,11019,9319,12814,9762,11498,10057,10484,9051,10254,8786,10484,10484,12009
26,9699,942,11702,12607,12300,11070,9362,12872,9993,11549,10284,10532,9255,10299,8994,10532,10532,12064
27,9966,955,11721,12628,12319,11087,9377,12893,10269,11557,10556,10549,9500,10306,9242,10549,10549,12084
28,10111,936,11947,12871,12556,11301,9558,13141,10417,11813,10683,10752,9614,10534,9376,10752,10752,12316
29,10552,944,11990,12917,12602,11342,9592,13189,10872,11852,11114,10791,10003,10569,9785,10791,10791,12361
30,10553,934,12015,12945,12629,11366,9612,13217,10873,11888,11123,10814,10010,10601,9786,10814,10814,12387
31,10981,943,12350,13305,12980,11682,9880,13585,11314,12234,11541,11115,10387,10910,10183,11115,11115,12732
32,11347,974,12787,13776,13440,12096,10230,14066,11691,12670,11926,11508,10733,11299,10522,11508,11508,13182
33,11716,1002,13215,14237,13890,12501,10572,14537,12072,13098,12311,11894,11080,11680,10865,11894,11894,13624
34,11908,1005,13394,14430,14078,12670,10715,14734,12270,13285,12503,12055,11253,11847,11043,12055,12055,13808
35,12125,1018,13637,14692,14333,12900,10910,15001,12493,13531,12726,12274,11453,12066,11243,12274,12274,14059
36,12338,1026,13710,14771,14410,12969,10968,15081,12713,13601,12940,12339,11646,12129,11441,12339,12339,14134
37,12421,983,13855,14926,14562,13105,11084,15240,12798,13793,12988,12469,11689,12300,11518,12469,12469,14283
38,12817,1006,13992,15074,14706,13235,11194,15391,13206,13918,13374,12593,12036,12411,11885,12593,12593,14425
39,12823,973,14062,15149,14780,13302,11250,15468,13212,14022,13394,12656,12055,12504,11891,12656,12656,14497
40,12904,970,14114,15206,14834,13351,11291,15526,13297,14080,13451,12703,12106,12556,11967,12703,12703,14551
41,13021,959,14136,15229,14857,13372,11309,15549,13417,14113,13557,12722,12202,12585,12076,12722,12722,14573
42,13235,971,14353,15463,15085,13577,11482,15788,13636,14332,13776,12917,12398,12781,12273,12917,12917,14797
43,13506,955,14482,15602,15221,13699,11586,15930,13916,14484,14029,13034,12626,12916,12524,13034,13034,14930
44,13739,939,14581,15709,15325,13793,11665,16039,14156,14604,14244,13123,12820,13023,12741,13123,13123,15032
45,13981,951,14848,15997,15606,14045,11878,16333,14405,14875,14491,13363,13042,13265,12964,13363,13363,15307
46,14457,981,15374,16563,16159,14543,12299,16912,14896,15405,14983,13837,13485,13738,13406,13837,13837,15850
47,14716,986,15615,16822,16412,14770,12492,17176,15163,15657,15241,14053,13717,13962,13647,14053,14053,16098
48,15135,1007,16059,17301,16879,15191,12847,17665,15595,16108,15669,14453,14102,14365,14035,14453,14453,16556
49,15377,1008,16268,17526,17098,15388,13014,17895,15844,16328,15908,14641,14317,14561,14259,14641,14641,16771
50,15549,1013,16449,17722,17289,15560,13159,18094,16021,16516,16079,14805,14471,14729,14419,14805,14805,16958
51,16009,1025,16875,18180,17736,15963,13500,18563,16495,16957,16542,15188,14887,15121,14846,15188,15188,17397
52,16300,1041,17211,18542,18089,16281,13769,18932,16795,17298,16841,15490,15156,15425,15116,15490,15490,17743
53,16667,1039,17490,18842,18382,16544,13992,19239,17173,17595,17199,15741,15479,15690,15456,15741,15741,18031
54,17094,1066,17983,19374,18901,17011,14386,19782,17613,18094,17639,16185,15875,16136,15851,16185,16185,18539
55,17453,1077,18338,19757,19274,17347,14670,20172,17982,18461,18000,16505,16200,16463,16184,16505,16505,18906
56,18001,1107,18943,20408,19910,17919,15154,20837,18548,19074,18562,17049,16706,17009,16693,17049,17049,19529
57,18351,1126,19347,20843,20334,18301,15478,21281,18909,19485,18922,17412,17029,17376,17018,17412,17412,19945
58,18601,1121,19539,21050,20536,18482,15631,21493,19166,19693,19163,17585,17247,17562,17249,17585,17585,20143
59,19167,1146,20134,21691,21161,19045,16107,22147,19750,20301,19738,18120,17765,18104,17775,18120,18120,20756
60,19494,1155,20468,22051,21513,19361,16374,22515,20086,20647,20067,18421,18060,18412,18077,18421,18421,21101
61,20224,1180,21178,22816,22259,20033,16942,23296,20838,21377,20803,19060,18723,19063,18754,19060,19060,21833
62,20504,1191,21499,23162,22596,20337,17199,23649,21127,21707,21087,19349,18978,19358,19014,19349,19349,22164
