country,gpercentile,income_2025,income_2026,income_2027,income_2028,income_2029,income_2030,income_2031,income_2032,income_2033,income_2034,income_2035,income_2036,income_2037,income_2038,income_2039,income_2040,income_2041,income_2042,income_2043,income_2044,income_2045,income_2046,income_2047,income_2048,income_2049,income_2050,income_2051,income_2052,income_2053,income_2054,income_2055,income_2056,income_2057,income_2058,income_2059,income_2060,income_2061,income_2062,income_2063,income_2064,income_2065,income_2066,income_2067,income_2068,income_2069,income_2070,income_2071,income_2072,income_2073,income_2074,income_2075,income_2076,income_2077,income_2078,income_2079,income_2080,income_2081,income_2082,income_2083,income_2084,income_2085,income_2086,income_2087,income_2088,income_2089,income_2090,income_2091,income_2092,income_2093,income_2094,income_2095,income_2096,income_2097,income_2098,income_2099,income_2100
IT,0,5470,7515,8304,8517,8754,9012,9325,9641,9957,10274,10593,10820,11043,11268,11497,11726,11953,12184,12416,12651,12888,13126,13364,13602,13841,14082,14143,14204,14262,14322,14380,14437,14494,14551,14606,14662,14718,14773,14828,14883,14939,14996,15052,15109,15166,15222,15281,15342,15403,15464,15526,15592,15658,15725,15792,15859,15842,15827,15810,15794,15775,15758,15739,15720,15700,15680,15659,15638,15617,15595,15573,15550,15528,15505,15484,15462
IT,1,5494,7540,8331,8547,8787,9046,9362,9680,9999,10316,10638,10867,11092,11319,11550,11779,12009,12241,12475,12712,12950,13190,13430,13670,13910,14153,14214,14274,14334,14394,14452,14510,14567,14624,14680,14736,14792,14847,14903,14959,15014,15071,15128,15185,15242,15300,15359,15419,15481,15542,15605,15671,15738,15805,15872,15939,15923,15907,15891,15874,15856,15838,15819,15800,15780,15760,15739,15718,15697,15675,15652,15630,15607,15585,15562,15541
IT,2,5518,7566,8360,8578,8820,9080,9398,9718,10039,10359,10684,10914,11142,11369,11602,11834,12064,12299,12534,12773,13013,13254,13496,13738,13980,14224,14285,14347,14406,14466,14525,14583,14641,14698,14754,14811,14866,14922,14978,15034,15091,15147,15205,15262,15320,15377,15437,15498,15559,15621,15684,15751,15818,15885,15953,16020,16005,15988,15971,15954,15937,15919,15900,15880,15861,15841,15819,15799,15777,15755,15732,15710,15687,15665,15642,15621
IT,3,5543,7593,8389,8609,8852,9116,9435,9758,10081,10403,10729,10961,11191,11421,11655,11888,12121,12357,12594,12834,13077,13320,13563,13806,14050,14296,14358,14420,14479,14539,14599,14657,14715,14772,14829,14886,14942,14998,15054,15111,15167,15225,15282,15340,15398,15456,15515,15577,15639,15701,15765,15831,15899,15967,16035,16102,16087,16070,16054,16037,16018,16000,15982,15962,15942,15922,15901,15880,15858,15837,15814,15791,15769,15746,15724,15702
IT,4,5873,7917,8706,8919,9157,9413,9726,10042,10358,10674,10993,11215,11436,11657,11882,12106,12330,12557,12786,13018,13252,13486,13721,13956,14191,14429,14491,14551,14611,14670,14729,14787,14844,14900,14957,15013,15069,15124,15180,15236,15292,15348,15405,15462,15520,15577,15636,15696,15758,15820,15882,15948,16015,16083,16150,16217,16200,16181,16163,16144,16124,16105,16084,16063,16041,16020,15997,15974,15951,15928,15903,15879,15855,15831,15807,15784
IT,5,5948,7993,8783,8997,9235,9492,9806,10122,10440,10755,11076,11298,11519,11740,11965,12190,12413,12640,12869,13101,13335,13569,13804,14040,14275,14513,14574,14635,14695,14754,14813,14872,14928,14985,15042,15098,15154,15210,15265,15322,15378,15435,15492,15549,15606,15664,15723,15784,15846,15908,15970,16037,16103,16171,16238,16306,16288,16270,16251,16232,16212,16192,16171,16149,16127,16106,16083,16059,16036,16012,15988,15963,15938,15914,15890,15866
IT,6,6122,8164,8952,9164,9400,9655,9966,10282,10596,10911,11229,11448,11664,11882,12103,12324,12546,12769,12995,13223,13454,13685,13917,14149,14382,14616,14677,14739,14799,14858,14917,14975,15032,15088,15145,15201,15257,15312,15367,15424,15480,15537,15593,15651,15708,15765,15824,15885,15946,16009,16071,16137,16204,16272,16339,16406,16387,16368,16348,16328,16307,16287,16265,16242,16220,16197,16173,16149,16125,16100,16075,16050,16024,15999,15974,15950
IT,7,6369,8407,9192,9399,9631,9882,10189,10500,10810,11120,11435,11647,11858,12069,12284,12500,12715,12933,13152,13375,13600,13826,14052,14279,14506,14735,14796,14857,14916,14976,15034,15091,15148,15204,15261,15317,15372,15428,15483,15538,15593,15650,15706,15764,15820,15877,15936,15996,16058,16119,16181,16247,16314,16381,16448,16515,16495,16474,16453,16432,16410,16388,16365,16341,16317,16293,16268,16243,16217,16191,16166,16138,16112,16086,16060,16034
IT,8,6737,8769,9545,9746,9969,10213,10513,10815,11118,11421,11726,11928,12128,12330,12535,12740,12945,13153,13362,13576,13792,14007,14224,14441,14659,14878,14939,14999,15058,15116,15175,15231,15287,15343,15398,15453,15508,15563,15617,15671,15727,15783,15838,15894,15950,16007,16065,16125,16185,16245,16307,16372,16439,16504,16571,16637,16614,16593,16569,16546,16522,16498,16473,16448,16422,16396,16369,16342,16315,16287,16259,16231,16203,16174,16147,16120
IT,9,7186,9207,9975,10165,10380,10613,10903,11195,11488,11780,12077,12264,12451,12639,12831,13023,13216,13411,13608,13809,14012,14216,14420,14626,14831,15039,15098,15158,15216,15273,15330,15386,15441,15496,15550,15604,15658,15712,15765,15819,15873,15927,15983,16038,16092,16148,16205,16264,16323,16383,16444,16508,16573,16638,16703,16768,16744,16719,16693,16668,16642,16615,16588,16560,16532,16504,16475,16446,16416,16386,16357,16325,16295,16265,16235,16206
IT,10,7733,9741,10497,10675,10876,11097,11374,11654,11935,12213,12496,12667,12837,13008,13184,13360,13535,13715,13896,14081,14269,14457,14646,14836,15027,15219,15278,15336,15392,15449,15505,15560,15613,15667,15720,15773,15825,15878,15930,15982,16035,16088,16142,16195,16249,16303,16359,16417,16475,16533,16592,16655,16719,16783,16847,16911,16883,16856,16827,16799,16770,16740,16710,16680,16649,16618,16586,16554,16522,16489,16456,16423,16390,16357,16325,16293
IT,11,8196,10195,10940,11108,11299,11509,11777,12046,12316,12584,12857,13014,13170,13327,13489,13652,13814,13981,14149,14321,14496,14671,14848,15025,15203,15384,15441,15498,15554,15610,15665,15719,15772,15824,15877,15928,15979,16031,16082,16134,16185,16237,16290,16343,16395,16448,16503,16560,16617,16674,16732,16794,16857,16920,16983,17046,17015,16985,16954,16923,16892,16860,16828,16795,16762,16728,16694,16660,16625,16591,16556,16520,16485,16450,16416,16381
