country,gpercentile,imputed_income_2025
AE,0,551
AE,1,551
AE,2,551
AE,3,551
AE,4,551
AE,5,825
AE,6,1398
AE,7,1993
AE,8,2603
AE,9,3223
AE,10,3776
AE,11,4411
AE,12,5051
AE,13,5694
AE,14,6342
AE,15,6992
AE,16,7646
AE,17,8302
AE,18,8959
AE,19,9619
AE,20,9783
AE,21,10083
AE,22,10356
AE,23,10607
AE,24,10836
AE,25,11079
AE,26,11310
AE,27,11552
AE,28,11793
AE,29,12025
AE,30,12244
AE,31,12492
AE,32,12825
AE,33,13192
AE,34,13598
AE,35,14109
AE,36,14631
AE,37,15180
AE,38,15749
AE,39,16596
AE,40,17485
AE,41,18445
AE,42,19449
AE,43,20482
AE,44,21508
AE,45,22212
AE,46,22819
AE,47,23430
AE,48,24046
AE,49,24599
AE,50,24942
AE,51,25314
AE,52,25671
AE,53,26036
AE,54,26445
AE,55,26905
AE,56,27377
AE,57,27899
AE,58,28495
AE,59,29106
AE,60,29688
AE,61,30278
AE,62,30867
AE,63,31452
AE,64,32060
AE,65,32684
AE,66,33316
AE,67,33971
AE,68,34758
AE,69,35574
AE,70,36421
AE,71,37325
AE,72,38240
AE,73,39035
AE,74,39859
AE,75,40744
AE,76,41608
AE,77,42475
AE,78,43396
AE,79,44342
AE,80,45817
AE,81,47605
AE,82,49951
AE,83,52834
AE,84,56202
AE,85,60216
AE,86,65495
AE,87,71790
AE,88,79094
AE,89,87706
AE,90,96989
AE,91,106854
AE,92,118509
AE,93,131533
AE,94,145147
AE,95,160461
AE,96,180015
AE,97,208808
AE,98,260488
AE,99,410373
AE,99.1,427971
AE,99.2,448453
AE,99.3,474164
AE,99.4,504102
AE,99.5,545180
AE,99.6,593360
AE,99.7,673226
AE,99.8,837051
AE,99.9,1019664
AE,99.91,1074558
AE,99.92,1137671
AE,99.93,1211822
AE,99.94,1304695
AE,99.95,1426728
AE,99.96,1583801
AE,99.97,1858364
AE,99.98,2446037
AE,99.99,3046332
AE,99.991,3240048
AE,99.992,3448849
AE,99.993,3722576
AE,99.994,4060039
AE,99.995,4546426
AE,99.996,5264624
AE,99.997,6346807
AE,99.998,8145591
AE,99.999,18077520
AR,0,3382
AR,1,3382
AR,2,3382
AR,3,3382
AR,4,3382
AR,5,3382
AR,6,3382
AR,7,3382
AR,8,3382
AR,9,3382
AR,10,3382
AR,11,3901
AR,12,4509
AR,13,5068
AR,14,4921
AR,15,5186
AR,16,5266
AR,17,5246
AR,18,5573
AR,19,5591
AR,20,5798
AR,21,5974
AR,22,5824
AR,23,6091
AR,24,6243
AR,25,6185
AR,26,6488
AR,27,6350
AR,28,6550
AR,29,6732
AR,30,6603
AR,31,6883
AR,32,7043
AR,33,7223
AR,34,7419
AR,35,7350
AR,36,7555
AR,37,7523
AR,38,7719
AR,39,7794
AR,40,7712
AR,41,7875
AR,42,8022
AR,43,7961
AR,44,8132
AR,45,8369
AR,46,8524
AR,47,8689
AR,48,8791
AR,49,8880
AR,50,8950
AR,51,9131
AR,52,9416
AR,53,9663
AR,54,9918
AR,55,10257
AR,56,10600
AR,57,10757
AR,58,10824
AR,59,11135
AR,60,11191
AR,61,11411
AR,62,11549
AR,63,11805
AR,64,12169
AR,65,12320
AR,66,12639
AR,67,13039
AR,68,13301
AR,69,13610
AR,70,14038
AR,71,14330
AR,72,14501
AR,73,14936
AR,74,15406
AR,75,15882
AR,76,16346
AR,77,16781
AR,78,17363
AR,79,17926
AR,80,18248
AR,81,18568
AR,82,19341
AR,83,20322
AR,84,21430
AR,85,22457
AR,86,23466
AR,87,24819
AR,88,26506
AR,89,28255
AR,90,30029
AR,91,32285
AR,92,35578
AR,93,38940
AR,94,44694
AR,95,51894
AR,96,61113
AR,97,75630
AR,98,107257
AR,99,139451
AR,99.1,149651
AR,99.2,159673
AR,99.3,173845
AR,99.4,185741
AR,99.5,196595
AR,99.6,204337
AR,99.7,235002
AR,99.8,286785
AR,99.9,292690
AR,99.91,295000
AR,99.92,308961
AR,99.93,322398
AR,99.94,328646
AR,99.95,326456
AR,99.96,333673
AR,99.97,345898
AR,99.98,403953
AR,99.99,459670
AR,99.991,464447
AR,99.992,465624
AR,99.993,467154
AR,99.994,469495
AR,99.995,602587
AR,99.996,651303
AR,99.997,699406
AR,99.998,809075
AR,99.999,815704
AU,0,6791
AU,1,6791
AU,2,6791
AU,3,6791
AU,4,6791
AU,5,7064
AU,6,7639
AU,7,8238
AU,8,8849
AU,9,9166
AU,10,9469
AU,11,9792
AU,12,10420
AU,13,11048
AU,14,11675
AU,15,12303
AU,16,12839
AU,17,12953
AU,18,13202
AU,19,13636
AU,20,13546
AU,21,14109
AU,22,14109
AU,23,14413
AU,24,14866
AU,25,14763
AU,26,15294
AU,27,15756
AU,28,16156
AU,29,16629
AU,30,16974
AU,31,17424
AU,32,18047
AU,33,18693
AU,34,19190
AU,35,19782
AU,36,20301
AU,37,20777
AU,38,21493
AU,39,21906
AU,40,22073
AU,41,22473
AU,42,23101
AU,43,23825
AU,44,24292
AU,45,25047
AU,46,25794
AU,47,26582
AU,48,27359
AU,49,28055
AU,50,28591
AU,51,29491
AU,52,30348
AU,53,31137
AU,54,31832
AU,55,32621
AU,56,33439
AU,57,33949
AU,58,34396
AU,59,34989
AU,60,34986
AU,61,35478
AU,62,35720
AU,63,36153
AU,64,36679
AU,65,37010
AU,66,37622
AU,67,38277
AU,68,38831
AU,69,39673
AU,70,40593
AU,71,41612
AU,72,42826
AU,73,44042
AU,74,45487
AU,75,46840
AU,76,48366
AU,77,49966
AU,78,51526
AU,79,53223
AU,80,55064
AU,81,56583
AU,82,58090
AU,83,59774
AU,84,61425
AU,85,62979
AU,86,64517
AU,87,66525
AU,88,68370
AU,89,70332
AU,90,72545
AU,91,74581
AU,92,77228
AU,93,80287
AU,94,84472
AU,95,90041
AU,96,98427
AU,97,113389
AU,98,148957
AU,99,188403
AU,99.1,200487
AU,99.2,216338
AU,99.3,234717
AU,99.4,255942
AU,99.5,285925
AU,99.6,320458
AU,99.7,378158
AU,99.8,485470
AU,99.9,587268
AU,99.91,615603
AU,99.92,623480
AU,99.93,673907
AU,99.94,738041
AU,99.95,788482
AU,99.96,888133
AU,99.97,1062054
AU,99.98,1411099
AU,99.99,1764325
AU,99.991,1885553
AU,99.992,2010149
AU,99.993,2164621
AU,99.994,2379178
AU,99.995,2671038
AU,99.996,3135087
AU,99.997,3869511
AU,99.998,5685431
AU,99.999,37924112
BD,0,156
BD,1,156
BD,2,156
BD,3,156
BD,4,156
BD,5,234
BD,6,392
BD,7,552
BD,8,713
BD,9,875
BD,10,1038
BD,11,1201
