country,gpercentile,wealth_2025,wealth_2030,wealth_2035,wealth_2050,wealth_2080,wealth_2100
IT,1,-55717,-44625,-30217,19114,80883,89788
IT,2,-55717,-44625,-30217,19114,80883,89788
IT,3,-55717,-44625,-30217,19114,80883,89788
IT,4,-55717,-44625,-30217,19114,80883,89788
IT,5,-55717,-44625,-30217,19114,80883,89788
IT,6,-55717,-44625,-30217,19114,80883,89788
IT,7,-55717,-44625,-30217,19114,80883,89788
IT,8,-55717,-44625,-30217,19114,80883,89788
IT,9,-55717,-44625,-30217,19114,80883,89788
IT,10,-55717,-44625,-30217,19114,80883,89788
IT,11,27318,39434,56607,99365,142139,138034
IT,12,27318,39434,56607,99365,142139,138034
IT,13,27318,39434,56607,99365,142139,138034
IT,14,27318,39434,56607,99365,142139,138034
IT,15,27318,39434,56607,99365,142139,138034
IT,16,27318,39434,56607,99365,142139,138034
IT,17,27318,39434,56607,99365,142139,138034
IT,18,27318,39434,56607,99365,142139,138034
IT,19,27318,39434,56607,99365,142139,138034
IT,20,27318,39434,56607,99365,142139,138034
IT,21,27318,39434,56607,99365,142139,138034
IT,22,27318,39434,56607,99365,142139,138034
IT,23,27318,39434,56607,99365,142139,138034
IT,24,27318,39434,56607,99365,142139,138034
IT,25,27318,39434,56607,99365,142139,138034
IT,26,27318,39434,56607,99365,142139,138034
IT,27,27318,39434,56607,99365,142139,138034
IT,28,27318,39434,56607,99365,142139,138034
IT,29,27318,39434,56607,99365,142139,138034
IT,30,27318,39434,56607,99365,142139,138034
IT,31,27318,39434,56607,99365,142139,138034
IT,32,27318,39434,56607,99365,142139,138034
IT,33,27318,39434,56607,99365,142139,138034
IT,34,27318,39434,56607,99365,142139,138034
IT,35,27318,39434,56607,99365,142139,138034
IT,36,27318,39434,56607,99365,142139,138034
IT,37,27318,39434,56607,99365,142139,138034
IT,38,27318,39434,56607,99365,142139,138034
IT,39,27318,39434,56607,99365,142139,138034
IT,40,27318,39434,56607,99365,142139,138034
IT,41,27318,39434,56607,99365,142139,138034
IT,42,27318,39434,56607,99365,142139,138034
IT,43,27318,39434,56607,99365,142139,138034
IT,44,27318,39434,56607,99365,142139,138034
IT,45,27318,39434,56607,99365,142139,138034
IT,46,27318,39434,56607,99365,142139,138034
IT,47,27318,39434,56607,99365,142139,138034
IT,48,27318,39434,56607,99365,142139,138034
IT,49,27318,39434,56607,99365,142139,138034
IT,50,27318,39434,56607,99365,142139,138034
IT,51,218189,233898,255459,285602,302105,273492
IT,52,218189,233898,255459,285602,302105,273492
IT,53,218189,233898,255459,285602,302105,273492
IT,54,218189,233898,255459,285602,302105,273492
IT,55,218189,233898,255459,285602,302105,273492
IT,56,218189,233898,255459,285602,302105,273492
IT,57,218189,233898,255459,285602,302105,273492
IT,58,218189,233898,255459,285602,302105,273492
IT,59,218189,233898,255459,285602,302105,273492
IT,60,218189,233898,255459,285602,302105,273492
IT,61,218189,233898,255459,285602,302105,273492
IT,62,218189,233898,255459,285602,302105,273492
IT,63,218189,233898,255459,285602,302105,273492
IT,64,218189,233898,255459,285602,302105,273492
IT,65,218189,233898,255459,285602,302105,273492
IT,66,218189,233898,255459,285602,302105,273492
IT,67,218189,233898,255459,285602,302105,273492
IT,68,218189,233898,255459,285602,302105,273492
IT,69,218189,233898,255459,285602,302105,273492
IT,70,218189,233898,255459,285602,302105,273492
IT,71,218189,233898,255459,285602,302105,273492
IT,72,218189,233898,255459,285602,302105,273492
IT,73,218189,233898,255459,285602,302105,273492
IT,74,218189,233898,255459,285602,302105,273492
IT,75,218189,233898,255459,285602,302105,273492
IT,76,218189,233898,255459,285602,302105,273492
IT,77,218189,233898,255459,285602,302105,273492
IT,78,218189,233898,255459,285602,302105,273492
IT,79,218189,233898,255459,285602,302105,273492
IT,80,218189,233898,255459,285602,302105,273492
IT,81,218189,233898,255459,285602,302105,273492
IT,82,218189,233898,255459,285602,302105,273492
IT,83,218189,233898,255459,285602,302105,273492
IT,84,218189,233898,255459,285602,302105,273492
IT,85,218189,233898,255459,285602,302105,273492
IT,86,218189,233898,255459,285602,302105,273492
IT,87,218189,233898,255459,285602,302105,273492
IT,88,218189,233898,255459,285602,302105,273492
IT,89,218189,233898,255459,285602,302105,273492
IT,90,218189,233898,255459,285602,302105,273492
IT,91,799406,851824,860623,752944,673967,573833
IT,92,799406,851824,860623,752944,673967,573833
IT,93,799406,851824,860623,752944,673967,573833
IT,94,799406,851824,860623,752944,673967,573833
IT,95,799406,851824,860623,752944,673967,573833
IT,96,799406,851824,860623,752944,673967,573833
IT,97,799406,851824,860623,752944,673967,573833
IT,98,799406,851824,860623,752944,673967,573833
IT,99,799406,851824,860623,752944,673967,573833
IT,100,4649999,3910297,3137902,1518036,1021728,876557
